PoolId	Name	Description	BtnName	EventId1[1]	EventId1[2]	EventId2[1]	EventId2[2]	EventId3[1]	EventId3[2]
20014	Mean Supply Robot (L)	Punishing Virus seems to have influenced the characteristics of this rude large supply robot. It gives different reactions based on the item you hand out, but the price it asks may be a bit dangerous given its size.		134	135	136	137	138	139
20015	Ruthless Cleansing Platform	Built by Cosmos Industries, this cleansing platform will perform all cleansing duties without hesitation.		140	141	142	143		
20016	Heartless Cleansing Platform	Built by Cosmos Industries, this cleansing platform is now offering complete cleansing service to individuals.		144	145	146	147		
20017	Heteromer Prank Box	The object inside the prank box is already mutating. No one knows what they will see once the box is opened.		148	149	150	151	152	153
20018	Heteromer Prank Crate	This is way too large for a prank "box". In fact, no one can easily open it...		154	155	156	157	158	159
20019	Mysterious Prank Box	Seems like something is trying to escape from this giant "box"...		160	161	162	163	164	165
20020	Uncertain Spare Parts Box	The sign on this spare parts box is hardly readable, but a personal terminal is still able to read the ID.		166		167		168	
20021	Agnosticism Spare Parts Box	The contents of this spare parts box cannot be detected due to the unknown substance on its surface. Someone seems to have tried to break it by force. No one knows exactly what this box has been through, but you probably can still find something useful once you open it.		169		170		171	
20022	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		172		173		174	
20023	Uncertain Spare Parts Box	The sign on this spare parts box is hardly readable, but a personal terminal is still able to read the ID.		179	180	181	182		
20024	Agnosticism Spare Parts Box	The contents of this spare parts box cannot be detected due to the unknown substance on its surface. Someone seems to have tried to break it by force. No one knows exactly what this box has been through, but you probably can still find something useful once you open it.		183	184	185	186		
20025	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		187	188	189	190		
11001	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	191		192		193	
11002	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	194		195		196	
11003	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	197		198		199	
11004	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	200		201		202	
11005	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	203		204		205	
11006	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	206		207		208	
11007	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	209		210		211	
11008	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	212		213		214	
11009	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	215		216		217	
11010	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	218		219		220	
21001	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		221	222	223	224		
21002	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		225	226	227	228		
21003	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		229	230	231	232		
21004	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		233	234	235	236		
21005	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		237	238	239	240		
21006	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		241	242	243	244		
21007	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		245	246	247	248		
21008	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		249	250	251	252		
21009	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		253	254	255	256		
21010	Mysterious Spare Parts Box	The model of the spare parts inside this box is unknown. It is hidden among many scrapped materials...		257	258	259	260		
